"gender" "height"
"M" 169
"F" 165
"F" 171
"F" 158
"F" 168
"M" 171
"M" 165
"M" 171
"M" 171
"F" 168
"M" 170
"M" 172
"M" 178
"F" 167
"F" 168
"F" 171
"M" 162
"F" 164
"Female " 168
"na" 169
"male" 165
"NA" 167
" Female" 178
"na" 166
"M" 176
"M" 162
"F" 159
" Female" 166
"F" 164
"M" 165
"M" 173
"Female " 170
"M" 166
"F" 163
" male" 168
"F" 163
"F" 161
"F" 169
"F" 171
"M" 170
"F" 182
"F" 171
"M" 162
"M" 173
"F" 166
"F" 177
"F" 172
"M" 169
"M" 173
" Female" 160
"F" 167
"F" 168
"F" 169
"F" 163
"Female " 159
"NA" 154
"F" 166
"F" 171
"female" 169
"F" 171
"Female " 174
"M" 167
"M" 165
" Female" 171
"M" 160
"F" 167
"M" 172
"M" 170
"Female " 176
"F" 164
"female " 174
"M" 171
"M" 167
"F" 164
"F" 168
"M" 167
"F" 168
" male" 169
"F" 180
"M" 155
NA 164
"F" 169
"M" 177
"F" 171
"Female " 173
"F" 167
"M" 173
"M" 165
"M" 165
"F" 165
"M" 170
"M" 172
"M" 168
"Female" 174
"F" 174
"M" 158
"male" 168
"na" 165
" Female" 172
"Male " 177
"M" 166
"female " 180
"F" 176
"male" 169
"M" 156
"M" 168
"F" 177
"M" 172
"F" 173
"M" 177
"F" 174
"F" 175
"F" 158
"M" 174
"F" 170
"F" 170
"F" 167
"F" 171
"NA" 169
"M" 165
"NA" 164
"M" 168
"Male" 168
"F" 170
"M" 172
"M" 170
"Female" 176
"M" 172
"F" 163
"M" 172
"F" 172
"F" 168
"male" 167
"Na" 167
"F" 170
"F" 174
"M" 171
"female " 163
"M" 177
"F" 168
"F" 167
"F" 177
"female" 159
"M" 165
"M" 170
"M" 174
"F" 170
"M" 165
NA 176
"M" 162
"F" 172
"M" 171
"M" 175
NA 164
"M" 170
"Male" 174
"F" 172
"M" 165
" Male" 168
"F" 165
"M" 171
"F" 170
" male" 168
"F" 177
"M" 168
"M" 163
"M" 172
"M" 162
"F" 175
"M" 170
"M" 169
"F" 171
"M" 169
"M" 163
"F" 169
"NA" 172
"M" 169
"M" 166
"F" 170
"M" 171
"M" 172
"M" 170
"M" 166
"M" 169
"M" 174
"F" 166
"F" 177
"F" 170
"M" 172
"F" 171
"Na" 172
"M" 170
"M" 168
"M" 166
"M" 180
"M" 169
"M" 172
NA 175
"F" 164
"M" 168
"F" 162
"M" 164
"male " 167
"Na" 177
"M" 160
"male" 174
" Female" 167
"F" 168
"Female" 170
